x1,y1,r1,g1,b1,x2,y2,r2,g2,b2,x3,y3,r3,g3,b3
1697,396,0,220,220,1628,413,0,207,207,1601,317,64,82,82
1628,413,0,207,207,1697,396,0,220,220,1676,432,64,99,99
1679,536,0,94,94,1640,600,0,143,143,1599,583,64,150,150
1640,600,0,143,143,1679,536,0,94,94,1701,592,64,69,69
1313,431,0,68,68,1327,486,0,89,89,1277,471,64,147,147
1327,486,0,89,89,1313,431,0,68,68,1363,442,64,87,87
856,717,0,170,170,890,682,0,118,118,889,721,64,95,95
890,682,0,118,118,856,717,0,170,170,840,665,64,118,118
856,717,0,170,170,866,759,0,128,128,823,759,64,142,142
866,759,0,128,128,856,717,0,170,170,889,721,64,95,95
824,627,0,104,104,800,672,0,136,136,792,633,64,76,76
911,83,0,120,120,867,100,0,101,101,836,89,64,124,124
832,125,0,184,184,836,89,0,124,124,867,100,64,101,101
836,89,0,124,124,832,125,0,184,184,802,116,64,176,176
1304,29,0,239,239,911,83,0,120,120,517,70,64,45,45
911,83,0,120,120,1304,29,0,239,239,1035,87,64,204,204
830,258,0,127,127,871,244,0,185,185,914,264,64,212,212
861,171,0,188,188,866,205,0,184,184,834,186,64,182,182
1727,635,0,89,89,1777,639,0,206,206,1748,668,64,90,90
1679,536,0,94,94,1727,541,0,122,122,1701,592,64,69,69
1727,541,0,122,122,1679,536,0,94,94,1705,488,64,191,191
1796,596,0,194,194,1775,547,0,166,166,1824,558,64,194,194
1775,547,0,166,166,1796,596,0,194,194,1752,594,64,184,184
277,183,0,42,42,280,221,0,67,67,239,209,64,45,45
280,221,0,67,67,277,183,0,42,42,317,193,64,59,59
187,298,0,61,61,152,279,0,57,57,197,263,64,61,61
152,279,0,57,57,187,298,0,61,61,152,315,64,68,68
187,298,0,61,61,220,287,0,51,51,215,318,64,68,68
220,287,0,51,51,187,298,0,61,61,197,263,64,61,61
260,247,0,73,73,230,256,0,69,69,243,231,64,73,73
230,256,0,69,69,260,247,0,73,73,255,274,64,61,61
222,371,0,67,67,262,367,0,63,63,247,395,64,53,53
262,367,0,63,63,222,371,0,67,67,227,346,64,73,73
286,258,0,73,73,255,274,0,61,61,260,247,64,73,73
255,274,0,61,61,286,258,0,73,73,283,306,64,35,35
309,241,0,68,68,280,221,0,67,67,317,218,64,67,67
280,221,0,67,67,309,241,0,68,68,286,258,64,73,73
286,258,0,73,73,327,267,0,56,56,283,306,64,35,35
327,267,0,56,56,286,258,0,73,73,309,241,64,68,68
408,253,0,29,29,363,253,0,67,67,367,221,64,70,70
363,253,0,67,67,408,253,0,29,29,371,285,64,43,43
751,161,0,170,170,733,146,0,169,169,756,140,64,189,189
733,146,0,169,169,751,161,0,170,170,747,186,64,122,122
569,215,0,23,23,522,306,0,46,46,514,243,64,67,67
1290,647,0,79,79,1203,585,0,138,138,1256,577,64,167,167
1203,585,0,138,138,1290,647,0,79,79,1172,631,64,80,80
1092,549,0,140,140,1067,608,0,99,99,1011,604,64,58,58
1181,491,0,191,191,1164,521,0,152,152,1151,498,64,209,209
1164,521,0,152,152,1181,491,0,191,191,1196,508,64,206,206
1259,1100,0,163,163,1227,1073,0,132,132,1266,1070,64,165,165
1227,1073,0,132,132,1259,1100,0,163,163,1231,1104,64,191,191
871,244,0,185,185,866,205,0,184,184,905,227,64,220,220
866,205,0,184,184,871,244,0,185,185,835,221,64,142,142
804,169,0,179,179,801,199,0,159,159,776,180,64,160,160
802,116,0,176,176,777,132,0,192,192,776,113,64,182,182
777,132,0,192,192,802,116,0,176,176,804,142,64,198,198
207,1145,0,127,127,183,1148,0,114,114,189,1142,64,112,112
528,695,0,6,6,565,533,0,8,8,654,647,64,8,8
565,533,0,8,8,528,695,0,6,6,467,575,64,7,7
514,243,0,67,67,494,279,0,67,67,492,249,64,72,72
494,279,0,67,67,514,243,0,67,67,522,306,64,46,46
572,341,0,14,14,752,342,0,94,94,726,493,64,46,46
294,1040,0,46,46,255,1042,0,47,47,271,1013,64,44,44
255,1042,0,47,47,294,1040,0,46,46,264,1076,64,75,75
340,1042,0,68,68,362,1019,0,63,63,380,1036,64,82,82
362,1019,0,63,63,340,1042,0,68,68,330,1018,64,41,41
271,1013,0,44,44,271,977,0,42,42,307,998,64,41,41
271,977,0,42,42,271,1013,0,44,44,243,1006,64,38,38
522,306,0,46,46,572,341,0,14,14,499,352,64,60,60
726,493,0,46,46,752,342,0,94,94,763,449,64,90,90
572,341,0,14,14,565,533,0,8,8,522,398,64,40,40
565,533,0,8,8,572,341,0,14,14,726,493,64,46,46
176,120,0,35,35,517,70,0,45,45,213,119,64,41,41
517,70,0,45,45,911,83,0,120,120,836,89,64,124,124
232,177,0,38,38,274,117,0,34,34,277,183,64,42,42
274,117,0,34,34,232,177,0,38,38,224,135,64,28,28
317,218,0,67,67,280,221,0,67,67,317,193,64,59,59
280,221,0,67,67,286,258,0,73,73,260,247,64,73,73
1410,423,0,188,188,1366,196,0,235,235,1526,243,64,36,36
1366,196,0,235,235,1410,423,0,188,188,1356,411,64,129,129
1510,87,0,172,172,1545,58,0,184,184,1558,109,64,157,157
807,505,0,124,124,823,566,0,60,60,796,544,64,70,70
1011,604,0,58,58,951,584,0,131,131,1092,549,64,140,140
951,584,0,131,131,1011,604,0,58,58,958,622,64,149,149
951,584,0,131,131,864,631,0,139,139,823,566,64,60,60
1674,825,0,185,185,1613,834,0,175,175,1643,796,64,184,184
1613,834,0,175,175,1674,825,0,185,185,1672,863,64,146,146
1610,657,0,121,121,1572,623,0,77,77,1616,619,64,136,136
1572,623,0,77,77,1610,657,0,121,121,1552,688,64,25,25
1662,638,0,135,135,1610,657,0,121,121,1616,619,64,136,136
1610,657,0,121,121,1662,638,0,135,135,1637,711,64,25,25
158,148,0,28,28,181,127,0,36,36,188,148,64,27,27
181,127,0,36,36,158,148,0,28,28,176,120,64,35,35
196,177,0,35,35,175,202,0,38,38,160,177,64,33,33
175,202,0,38,38,196,177,0,35,35,203,208,64,49,49
175,235,0,63,63,212,234,0,75,75,197,263,64,61,61
212,234,0,75,75,175,235,0,63,63,203,208,64,49,49
1067,608,0,99,99,1144,859,0,146,146,994,649,64,40,40
1172,631,0,80,80,1067,608,0,99,99,1123,586,64,124,124
1349,804,0,104,104,1363,841,0,91,91,1323,825,64,149,149
1363,841,0,91,91,1349,804,0,104,104,1380,810,64,98,98
380,1036,0,82,82,420,1039,0,68,68,384,1061,64,82,82
420,1039,0,68,68,380,1036,0,82,82,417,1013,64,72,72
457,949,0,53,53,481,970,0,58,58,439,982,64,67,67
481,970,0,58,58,457,949,0,53,53,482,932,64,59,59
431,1076,0,61,61,479,1083,0,72,72,462,1108,64,89,89
213,119,0,41,41,188,148,0,27,27,181,127,64,36,36
188,148,0,27,27,213,119,0,41,41,224,135,64,28,28
